Anzeigen,Ads
Kategorien,Categories
Privater Nutzer,Private user
Meine Anzeigen,My Ads
Kategorie,Category
Ausloggen,Logout
Einloggen,Login
Registrieren,Sign up
Aktiv seit,From: 
Profilinformationen,User info
Immobilien, Real Estate
Meins, My Account
Inserieren, Publish
Meine Anzeigen, My Ads
Mein Konto,My account
Mehr erfahren,Learn more
Ausloggen,Disconnect
Möchtest du dich wirklich ausloggen?,You will be disconnected from your account.
Online,Online
Neu,New
Profilbild,Profile picture
Neu,New
Für einen besseren Austausch zwischen Nutzern, mit denen du Geschäfte machen wirst!,For a more pleasant experience between members with whom you are going to do good business!
Bild hinzufügen,Add my profile photo
Anzeigen,Items
Käufe und Verkäufe,Transactions
Reisebuchungen,Holiday booking
Profil,Profile
Einstellungen,Settings
Profilinformationen,Personal informations
E-Mail,E-mail
Telefonnummer,Phone number
Mitteilungen,Notifications
Anmeldung und Sicherheit,Connection and security
Passwort,Password
Zwei-Faktor-Authentifizierung,2 -step connection
Verbundene Geräte,Connected devices
Hilfe,Help
Rechtliche Informationen,legal information
Hilfebereich,Help Center
Sicher bezahlen,Secure payment
Es fehlen noch einige Informationen, um die Zahlung zu erhalten,You have some information to complete to receive your payment.
Zahlung erhalten,Receive my payment
Sicher bezahlen mit,Secure payment with
Um die Sicherheit beim Verkauf deines Fahrzeugs zu verbesser, verifziere bitte deine Identität auf Kleinanzeigen,To benefit from optimal security for the sale of your vehicle, please check your identity on Leboncoin.
Meine Identität prüfen,Check my identity
Vielen Dank !,Thank you so much !
Die Informationsverarbeitung läuft. Sobald  sie abgeschlossen ist, erhälst du eine Bestätigungs-E-Mail,The processing of information is underway. Once finished, your payment will be paid directly to your bank account.
Mengenrabatt,Discounts on lots
Eine offene Anfrage,of pending request
offene Anfragen,pending requests
